"entrykey";"entryterm";"entrytermabbr";"entrytermdef";"entrytermlastmod"
"L22/TOOL0535";"Marine Scotland Opening Closing Environmental Acoustic Net water bottle";"OCEAN water sample bottle";"A custom made water sampling bottle designed to fit on the OCEAN sampler. The bottle comprises a free-flooding tube with a capacity of 0.5 litres. The bottle closes when a net sample is collected. Bottle firing is pre-programmed using a computer prior to deployment of the sampler.";"2012-09-25"
"L22/TOOL0536";"Bucket";"Bucket";"Typically a watertight, vertical cylinder or truncated cone, with an open top and a flat bottom. Usually attached to a semicircular handle.";"2012-09-25"
"L22/TOOL0537";"Winchester bottle";"Winchester bottle";"A strong, heavy bottle typically made of brown glass (to filter out UV light) but may also be made of plastics. A range of capacities is available. Also known as a Boston round bottle.";"2012-09-25"
"L22/TOOL0538";"Technicap NOEX bottle";"NOEX bottle";"Water bottle designed for oceanographic sampling. The bottle comprises a plastic tube with caps at each end and is deployed with the caps held open, then closed at the target depth. Multiple bottles can be deployed on a CTD frame rosette. Bottle capacity is variable, but normally several litres. The bottle was developed by Technicap in the 1990s but has been superseded by more recent models. There is no known source of support available for this sampler.";"2012-09-25"
"L22/TOOL0539";"Flygt pump";"Flygt pump";"Submersible electrical pump designed for continuous pumping of water. It incorporates an impeller, allowing large volumes of water to be pumped quickly. Flygt pumps were used by institutes such as the then Institute of Marine Environmental Research (now Plymouth Marine Laboratory) for oceanographic sampling in the 1970s. This allowed continuous monitoring of water properties as well as the collection of discrete samples from the pump outflow.";"2012-10-12"
"L22/TOOL0540";"National Institute of Oceanography water sampling bottle";"NIO bottle";"A plastic free-flushing water sampling bottle designed for oceanographic sampling. It has valves at each end, which are held open on deployment. When the bottle reaches the desired depth the valves are released and sealed. A reversing thermometer may be mounted on the bottle. The bottle inverts on closure, triggering the thermometer. A sampling spigot is positioned at the base of the bottle. The bottle was designed in the 1970s by Francis E. Pierce, Dennis I. Gaunt, and Richard Dobson at what was  then the National Institute of Oceanography, UK (a predecessor of the National Oceanography Centre).";"2012-09-25"
"L22/TOOL0541";"University of East Anglia rainwater sampler";"UEA rainwater sampler";"A rainwater sampler comprising a 40 cm diameter polypropylene plastic funnel feeding into a low density polyethylene (LDPE) bottle.";"2012-09-26"
"L22/TOOL0542";"Polypropylene 10L surface sample bottle";"Polypropylene 10L bottle";"Polypropylene plastic bottle with 10 litre capacity used for surface sampling from small boats during OMEX and LOIS RACS projects in the 1990s.";"2012-09-26"
"L22/TOOL0543";"Transparent sample bottle";"Transparent sample bottle";"Sampling bottle of unknown material that posseses the physical property of allowing the transmission of light with little or no intereference.";"2012-09-26"
"L22/TOOL0544";"Electropolished air sample canister";"Electropolished canister";"Metal sampling container of unknown make and capacity that has been smoothed by electropolishing (also known as electrochemical or electrolytic polishing). Suitable for the collection of high pressure air samples.";"2012-09-26"
"L22/TOOL0545";"Stainless steel air sample canister";"Stainless steel canister";"Stainless steel sampling container suitable for the collection of high pressure air samples. The container has a capacity of several litres.";"2012-09-26"
"L22/TOOL0546";"Plymouth Marine Laboratory Interfacial Sampler";"PML Interfacial Sampler";"A sampler comprising a frame fitted with 10 horizontal syringe-type 4 litre water bottles. An electronic control cylinder, mounted in the top of the frame, is programmed to release the bottle pistons once the frame has settled on the seabed and disturbed sediment has had time to disperse. The release of the piston draws in a sample and, at completion of the piston stroke, a mechanism is triggered to close the bottle inlet.";"2012-09-26"
"L22/TOOL0547";"Lancaster University syringe water sampler";"Lancs Uni syringe sampler";"A water sample collection system comprising a peristaltic pump attached to a syringe, allowing near-surface samples to be gathered without introducing oxygen (a closed system).";"2012-09-26"
"L22/TOOL0548";"Plymouth Marine Laboratory Near-Surface Sampling Device";"PML NSSD";"A water sample collection system comprising a flotation ring supporting a central vertical spar that carries a 8 sampling bottles, of which the upper 5 are vertically spaced at 20 cm intervals and the lower 3 at approximately 30 cm intervals. The spar also carries an array of thermistors spaced at logarithmic intervals between a few mm below the surface to approximately 2 m depth. Atop the spar is a control system which continuously logs the thermistor data. The device is deployed from a vessel and allowed to drift away on a tether with a conductive core. Thermistor data are transmitted up the cable to a host computer on board the ship, while the control system allows for the remote firing of the sampling bottles by the host computer.";"2012-09-26"
"L22/TOOL0549";"YSI Model 57 Dissolved Oxygen Meter";"YSI Dissolved oxygen 57";"A field instrument designed for measurement of dissolved oxygen and temperature in water. It comprises a submersible probe and a battery-powered meter. The probe incorporates Clark-type membrane covered polarographic sensors with built in thermistors for temperature measurement and compensation. Available oxygen measurement ranges are 0-5, 0-10 and 0-20 mg/l, with an accuracy of +/- 1% of full scale at calibration temperature or 0.1 mg/l, whichever is larger. The temperature range is -5 to 45 degC, with an accuracy of +/- 0.5 degC.";"2012-11-15"
"L22/TOOL0550";"University of East Anglia Low Volume Air Sampler";"UEA LVAS";"An atmospheric sampler that pumps air through a series of filters to collect samples for off-line analysis of aerosol and gas-phase constituents. Air samples are drawn into a sheltered housing, and through a PTFE filter, which collect samples of particulate material. The air is then drawn through a pair of oxalic acid-impregnated paper filters, which trap gas-phase components. The pump is chosen to produce a flow rate of approximately 50 litres per minute. Inline flow meters between the filter set and the pump determine the volume of air sampled.";"2012-09-26"
"L22/TOOL0551";"High Volume Air Sampler";"HVAS";"An atmospheric sampler that pumps air through a series of filters and traps to collect samples for off-line analysis of aerosol and gas-phase constituents. Air samples are drawn into a sheltered housing, and through one or more aerosol filters, which collect samples of particulate material. Successive aerosol filters may have smaller pore sizes to collect size fractionated aerosol samples. The air may then be drawn through one or more gas-phase filters or traps, such as reagent-soaked filter papers, reagent-filled impingers, or resin (polymer) traps. Flow meters between the filter set and the pump determine the volume of air sampled.";"2012-09-26"
"L22/TOOL0552";"Nereides 300l sample bottle";"Nereides 300l bottle";"A 300 litre capacity sampling bottle designed for oceanographic sampling. The bottle was closed by a messenger. It was used during the OMEX project in the 1990s.";"2012-09-26"
"L22/TOOL0553";"DGT Research Diffusive Gradients in Thin Films trace metal sampler";"DGT trace metal sampler";"A device designed to measure concentrations of dissolved metal species in water. It comprises a plastic casing that contains a Chelex resin impregnated in a hydrogel to accumulate metals. The resin layer is overlain by a diffusive layer of hydrogel and a filter. Ions diffuse through the filter and diffusive layer to reach the resin layer, thereby establishing a constant concentration gradient in the diffusive layer that allows the quantitative measurement of labile species in solution through laboratory analysis.";"2012-11-15"
"L22/TOOL0554";"University of Manchester 4-stage Compact Cascade Impactor";"UMA 4-stage CCI";"An aerosol sampler modelled on the Harvard Compact Cascade Impactor. Sample air is accelerated through an orifice towards a collector plate, which deflects the airflow around it. Particles too large to follow the streamlines impact on the plate. The air stream, now with the largest particles removed, proceeds to the subsequent impactor stages, each tuned to collect successively smaller particles. The four stages collect particles in the following size categories: greater than 9.9 um; 5.3-9.9 um; 1.0-5.3 um; 0.16-1.0 um.";"2012-09-28"
